day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-21,3,LP EGR-VV,0,168,60
2026-04-21,3,LP EGR-VV,1,0,60
2026-04-21,3,LP EGR-VV,2,91,60
2026-04-21,3,LP EGR-VV,3,173,60
2026-04-21,3,LP EGR-VV,4,151,60
2026-04-21,3,LP EGR-VV,5,84,60
2026-04-21,3,LP EGR-VV,6,72,30
2026-04-21,3,LP EGR-VV,7,125,54
2026-04-21,3,LP EGR-VV,8,133,60
2026-04-21,3,LP EGR-VV,9,37,60
2026-04-21,3,LP EGR-VV,10,0,60
2026-04-21,3,LP EGR-VV,11,0,60
2026-04-21,3,LP EGR-VV,12,0,60
2026-04-21,3,LP EGR-VV,13,0,60
2026-04-21,3,LP EGR-VV,14,134,60
2026-04-21,3,LP EGR-VV,15,169,60
2026-04-21,3,LP EGR-VV,16,170,60
2026-04-21,3,LP EGR-VV,17,170,60
2026-04-21,3,LP EGR-VV,18,142,60
2026-04-21,3,LP EGR-VV,19,178,60
2026-04-21,3,LP EGR-VV,20,165,60
2026-04-21,3,LP EGR-VV,21,182,60
2026-04-21,3,LP EGR-VV,22,169,60
2026-04-21,3,LP EGR-VV,23,146,60
