day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-20,3,LP EGR-VV,2026-04-20T07:30,117,112.8
2026-04-20,3,LP EGR-VV,2026-04-20T08:30,144,131.1
2026-04-20,3,LP EGR-VV,2026-04-20T09:30,170,144.1
2026-04-20,3,LP EGR-VV,2026-04-20T10:30,167,150.4
2026-04-20,3,LP EGR-VV,2026-04-20T11:30,169,153.7
2026-04-20,3,LP EGR-VV,2026-04-20T12:30,169,156.4
2026-04-20,3,LP EGR-VV,2026-04-20T13:30,170,158.2
2026-04-20,3,LP EGR-VV,2026-04-20T14:30,169,159.7
2026-04-20,3,LP EGR-VV,2026-04-20T15:30,169,160.6
2026-04-20,3,LP EGR-VV,2026-04-20T16:30,167,161.3
2026-04-20,3,LP EGR-VV,2026-04-20T17:30,172,162.4
2026-04-20,3,LP EGR-VV,2026-04-20T18:30,148,161.6
2026-04-20,3,LP EGR-VV,2026-04-20T19:30,129,158.7
2026-04-20,3,LP EGR-VV,2026-04-20T20:30,150,157.9
2026-04-20,3,LP EGR-VV,2026-04-20T21:30,176,159.2
2026-04-20,3,LP EGR-VV,2026-04-20T22:30,164,159.8
2026-04-20,3,LP EGR-VV,2026-04-20T23:30,111,156.6
2026-04-20,3,LP EGR-VV,2026-04-21T00:30,174,157.9
2026-04-20,3,LP EGR-VV,2026-04-21T01:30,0,149.6
2026-04-20,3,LP EGR-VV,2026-04-21T02:30,80,145.8
2026-04-20,3,LP EGR-VV,2026-04-21T03:30,176,147.2
2026-04-20,3,LP EGR-VV,2026-04-21T04:30,167,148.2
2026-04-20,3,LP EGR-VV,2026-04-21T05:30,90,145.7
2026-04-20,3,LP EGR-VV,2026-04-21T06:30,75,142.9
