day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-17,3,LP EGR-VV,0,0,3
2026-04-17,3,LP EGR-VV,1,174,60
2026-04-17,3,LP EGR-VV,2,152,60
2026-04-17,3,LP EGR-VV,3,170,60
2026-04-17,3,LP EGR-VV,4,143,60
2026-04-17,3,LP EGR-VV,5,167,60
2026-04-17,3,LP EGR-VV,6,100,52
2026-04-17,3,LP EGR-VV,7,158,60
2026-04-17,3,LP EGR-VV,8,169,60
2026-04-17,3,LP EGR-VV,9,169,60
2026-04-17,3,LP EGR-VV,10,168,60
2026-04-17,3,LP EGR-VV,11,159,56
2026-04-17,3,LP EGR-VV,12,167,60
2026-04-17,3,LP EGR-VV,13,132,60
2026-04-17,3,LP EGR-VV,14,169,60
2026-04-17,3,LP EGR-VV,15,164,60
2026-04-17,3,LP EGR-VV,16,164,60
2026-04-17,3,LP EGR-VV,17,172,60
2026-04-17,3,LP EGR-VV,18,163,59
2026-04-17,3,LP EGR-VV,19,157,60
2026-04-17,3,LP EGR-VV,20,168,60
2026-04-17,3,LP EGR-VV,21,154,60
2026-04-17,3,LP EGR-VV,22,167,60
2026-04-17,3,LP EGR-VV,23,86,36
