day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-18,1,ECU Housing 1,0,97,29
2026-04-18,1,ECU Housing 1,1,257,57
2026-04-18,1,ECU Housing 1,2,203,53
2026-04-18,1,ECU Housing 1,3,249,58
2026-04-18,1,ECU Housing 1,4,218,58
2026-04-18,1,ECU Housing 1,5,247,52
2026-04-18,1,ECU Housing 1,6,152,36
2026-04-18,1,ECU Housing 1,7,258,58
2026-04-18,1,ECU Housing 1,8,250,55
2026-04-18,1,ECU Housing 1,9,253,56
2026-04-18,1,ECU Housing 1,10,149,33
2026-04-18,1,ECU Housing 1,11,257,58
2026-04-18,1,ECU Housing 1,12,259,59
2026-04-18,1,ECU Housing 1,13,52,12
2026-04-18,1,ECU Housing 1,14,0,0
2026-04-18,1,ECU Housing 1,15,0,0
2026-04-18,1,ECU Housing 1,16,0,0
2026-04-18,1,ECU Housing 1,17,0,0
2026-04-18,1,ECU Housing 1,18,0,0
2026-04-18,1,ECU Housing 1,19,0,0
2026-04-18,1,ECU Housing 1,20,56,17
2026-04-18,1,ECU Housing 1,21,77,41
2026-04-18,1,ECU Housing 1,22,265,60
2026-04-18,1,ECU Housing 1,23,134,28
