day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-20,1,ECU Housing 1,0,125,60
2026-04-20,1,ECU Housing 1,1,248,59
2026-04-20,1,ECU Housing 1,2,202,56
2026-04-20,1,ECU Housing 1,3,263,57
2026-04-20,1,ECU Housing 1,4,211,59
2026-04-20,1,ECU Housing 1,5,260,56
2026-04-20,1,ECU Housing 1,6,166,45
2026-04-20,1,ECU Housing 1,7,12,0
2026-04-20,1,ECU Housing 1,8,146,34
2026-04-20,1,ECU Housing 1,9,235,49
2026-04-20,1,ECU Housing 1,10,236,49
2026-04-20,1,ECU Housing 1,11,260,51
2026-04-20,1,ECU Housing 1,12,219,43
2026-04-20,1,ECU Housing 1,13,193,45
2026-04-20,1,ECU Housing 1,14,251,57
2026-04-20,1,ECU Housing 1,15,257,59
2026-04-20,1,ECU Housing 1,16,262,56
2026-04-20,1,ECU Housing 1,17,263,58
2026-04-20,1,ECU Housing 1,18,250,56
2026-04-20,1,ECU Housing 1,19,134,32
2026-04-20,1,ECU Housing 1,20,252,58
2026-04-20,1,ECU Housing 1,21,175,47
2026-04-20,1,ECU Housing 1,22,39,9
2026-04-20,1,ECU Housing 1,23,136,60
