day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-18,2,ECU Housing 2,0,335,0
2026-04-18,2,ECU Housing 2,1,321,0
2026-04-18,2,ECU Housing 2,2,152,4
2026-04-18,2,ECU Housing 2,3,0,0
2026-04-18,2,ECU Housing 2,4,0,0
2026-04-18,2,ECU Housing 2,5,0,0
2026-04-18,2,ECU Housing 2,6,166,0
2026-04-18,2,ECU Housing 2,7,337,0
2026-04-18,2,ECU Housing 2,8,347,0
2026-04-18,2,ECU Housing 2,9,296,0
2026-04-18,2,ECU Housing 2,10,335,0
2026-04-18,2,ECU Housing 2,11,296,0
2026-04-18,2,ECU Housing 2,12,342,0
2026-04-18,2,ECU Housing 2,13,256,0
2026-04-18,2,ECU Housing 2,14,259,0
2026-04-18,2,ECU Housing 2,15,282,0
2026-04-18,2,ECU Housing 2,16,102,3
2026-04-18,2,ECU Housing 2,17,284,0
2026-04-18,2,ECU Housing 2,18,212,0
2026-04-18,2,ECU Housing 2,19,197,0
2026-04-18,2,ECU Housing 2,20,327,0
2026-04-18,2,ECU Housing 2,21,326,0
2026-04-18,2,ECU Housing 2,22,326,0
2026-04-18,2,ECU Housing 2,23,327,0
