day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-19,2,ECU Housing 2,0,0,0
2026-04-19,2,ECU Housing 2,1,0,0
2026-04-19,2,ECU Housing 2,2,0,0
2026-04-19,2,ECU Housing 2,3,0,0
2026-04-19,2,ECU Housing 2,4,0,0
2026-04-19,2,ECU Housing 2,5,0,0
2026-04-19,2,ECU Housing 2,6,0,0
2026-04-19,2,ECU Housing 2,7,317,0
2026-04-19,2,ECU Housing 2,8,274,3
2026-04-19,2,ECU Housing 2,9,317,0
2026-04-19,2,ECU Housing 2,10,268,3
2026-04-19,2,ECU Housing 2,11,320,0
2026-04-19,2,ECU Housing 2,12,241,0
2026-04-19,2,ECU Housing 2,13,306,0
2026-04-19,2,ECU Housing 2,14,167,0
2026-04-19,2,ECU Housing 2,15,290,0
2026-04-19,2,ECU Housing 2,16,305,0
2026-04-19,2,ECU Housing 2,17,31,2
2026-04-19,2,ECU Housing 2,18,0,0
2026-04-19,2,ECU Housing 2,19,0,0
2026-04-19,2,ECU Housing 2,20,0,0
2026-04-19,2,ECU Housing 2,21,0,0
2026-04-19,2,ECU Housing 2,22,0,0
2026-04-19,2,ECU Housing 2,23,0,0
