day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-21,2,ECU Housing 2,0,3,0
2026-04-21,2,ECU Housing 2,1,334,31
2026-04-21,2,ECU Housing 2,2,346,31
2026-04-21,2,ECU Housing 2,3,167,15
2026-04-21,2,ECU Housing 2,4,195,17
2026-04-21,2,ECU Housing 2,5,343,32
2026-04-21,2,ECU Housing 2,6,179,16
2026-04-21,2,ECU Housing 2,7,326,27
2026-04-21,2,ECU Housing 2,8,323,27
2026-04-21,2,ECU Housing 2,9,273,22
2026-04-21,2,ECU Housing 2,10,328,27
2026-04-21,2,ECU Housing 2,11,313,27
2026-04-21,2,ECU Housing 2,12,272,26
2026-04-21,2,ECU Housing 2,13,81,26
2026-04-21,2,ECU Housing 2,14,244,23
2026-04-21,2,ECU Housing 2,15,324,27
2026-04-21,2,ECU Housing 2,16,164,14
2026-04-21,2,ECU Housing 2,17,330,30
2026-04-21,2,ECU Housing 2,18,155,15
2026-04-21,2,ECU Housing 2,19,291,26
2026-04-21,2,ECU Housing 2,20,342,29
2026-04-21,2,ECU Housing 2,21,34,4
2026-04-21,2,ECU Housing 2,22,338,30
2026-04-21,2,ECU Housing 2,23,165,14
