day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-20,2,ECU Housing 2,0,186,16
2026-04-20,2,ECU Housing 2,1,345,31
2026-04-20,2,ECU Housing 2,2,170,18
2026-04-20,2,ECU Housing 2,3,185,17
2026-04-20,2,ECU Housing 2,4,344,32
2026-04-20,2,ECU Housing 2,5,344,31
2026-04-20,2,ECU Housing 2,6,196,18
2026-04-20,2,ECU Housing 2,7,0,0
2026-04-20,2,ECU Housing 2,8,194,9
2026-04-20,2,ECU Housing 2,9,296,27
2026-04-20,2,ECU Housing 2,10,162,12
2026-04-20,2,ECU Housing 2,11,242,22
2026-04-20,2,ECU Housing 2,12,262,24
2026-04-20,2,ECU Housing 2,13,329,27
2026-04-20,2,ECU Housing 2,14,266,24
2026-04-20,2,ECU Housing 2,15,340,27
2026-04-20,2,ECU Housing 2,16,180,15
2026-04-20,2,ECU Housing 2,17,308,26
2026-04-20,2,ECU Housing 2,18,120,10
2026-04-20,2,ECU Housing 2,19,272,25
2026-04-20,2,ECU Housing 2,20,336,30
2026-04-20,2,ECU Housing 2,21,288,26
2026-04-20,2,ECU Housing 2,22,323,30
2026-04-20,2,ECU Housing 2,23,0,0
