day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-18,1,ECU Housing 1,2026-04-18T07:30,258,253.2
2026-04-18,1,ECU Housing 1,2026-04-18T08:30,250,251.6
2026-04-18,1,ECU Housing 1,2026-04-18T09:30,253,252.1
2026-04-18,1,ECU Housing 1,2026-04-18T10:30,149,226.4
2026-04-18,1,ECU Housing 1,2026-04-18T11:30,257,232.6
2026-04-18,1,ECU Housing 1,2026-04-18T12:30,259,236.8
2026-04-18,1,ECU Housing 1,2026-04-18T13:30,52,211.6
2026-04-18,1,ECU Housing 1,2026-04-18T14:30,0,185.1
2026-04-18,1,ECU Housing 1,2026-04-18T15:30,0,164.5
2026-04-18,1,ECU Housing 1,2026-04-18T16:30,0,148.0
2026-04-18,1,ECU Housing 1,2026-04-18T17:30,0,134.6
2026-04-18,1,ECU Housing 1,2026-04-18T18:30,0,123.3
2026-04-18,1,ECU Housing 1,2026-04-18T19:30,0,113.8
2026-04-18,1,ECU Housing 1,2026-04-18T20:30,56,109.3
2026-04-18,1,ECU Housing 1,2026-04-18T21:30,77,107.0
2026-04-18,1,ECU Housing 1,2026-04-18T22:30,265,116.9
2026-04-18,1,ECU Housing 1,2026-04-18T23:30,134,118.3
2026-04-18,1,ECU Housing 1,2026-04-19T00:30,97,116.7
2026-04-18,1,ECU Housing 1,2026-04-19T01:30,257,124.1
2026-04-18,1,ECU Housing 1,2026-04-19T02:30,203,128.0
2026-04-18,1,ECU Housing 1,2026-04-19T03:30,249,133.8
2026-04-18,1,ECU Housing 1,2026-04-19T04:30,218,137.6
2026-04-18,1,ECU Housing 1,2026-04-19T05:30,247,142.7
2026-04-18,1,ECU Housing 1,2026-04-19T06:30,152,143.0
