day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-17,1,ECU Housing 1,2026-04-17T07:30,206,199.3
2026-04-17,1,ECU Housing 1,2026-04-17T08:30,239,220.3
2026-04-17,1,ECU Housing 1,2026-04-17T09:30,95,181.0
2026-04-17,1,ECU Housing 1,2026-04-17T10:30,243,194.3
2026-04-17,1,ECU Housing 1,2026-04-17T11:30,248,205.1
2026-04-17,1,ECU Housing 1,2026-04-17T12:30,239,210.9
2026-04-17,1,ECU Housing 1,2026-04-17T13:30,234,214.1
2026-04-17,1,ECU Housing 1,2026-04-17T14:30,219,214.6
2026-04-17,1,ECU Housing 1,2026-04-17T15:30,179,211.7
2026-04-17,1,ECU Housing 1,2026-04-17T16:30,111,200.9
2026-04-17,1,ECU Housing 1,2026-04-17T17:30,233,203.7
2026-04-17,1,ECU Housing 1,2026-04-17T18:30,239,206.6
2026-04-17,1,ECU Housing 1,2026-04-17T19:30,60,195.3
2026-04-17,1,ECU Housing 1,2026-04-17T20:30,223,197.3
2026-04-17,1,ECU Housing 1,2026-04-17T21:30,189,196.8
2026-04-17,1,ECU Housing 1,2026-04-17T22:30,243,199.8
2026-04-17,1,ECU Housing 1,2026-04-17T23:30,131,196.1
2026-04-17,1,ECU Housing 1,2026-04-18T00:30,112,191.0
2026-04-17,1,ECU Housing 1,2026-04-18T01:30,267,195.0
2026-04-17,1,ECU Housing 1,2026-04-18T02:30,217,196.1
2026-04-17,1,ECU Housing 1,2026-04-18T03:30,180,195.3
2026-04-17,1,ECU Housing 1,2026-04-18T04:30,200,195.6
2026-04-17,1,ECU Housing 1,2026-04-18T05:30,257,198.2
2026-04-17,1,ECU Housing 1,2026-04-18T06:30,185,197.8
