day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-17,2,ECU Housing 2,2026-04-17T07:30,327,320.9
2026-04-17,2,ECU Housing 2,2026-04-17T08:30,325,323.6
2026-04-17,2,ECU Housing 2,2026-04-17T09:30,298,314.7
2026-04-17,2,ECU Housing 2,2026-04-17T10:30,345,322.2
2026-04-17,2,ECU Housing 2,2026-04-17T11:30,337,325.8
2026-04-17,2,ECU Housing 2,2026-04-17T12:30,297,320.3
2026-04-17,2,ECU Housing 2,2026-04-17T13:30,352,324.9
2026-04-17,2,ECU Housing 2,2026-04-17T14:30,272,318.4
2026-04-17,2,ECU Housing 2,2026-04-17T15:30,355,322.6
2026-04-17,2,ECU Housing 2,2026-04-17T16:30,352,325.4
2026-04-17,2,ECU Housing 2,2026-04-17T17:30,342,326.9
2026-04-17,2,ECU Housing 2,2026-04-17T18:30,10,301.4
2026-04-17,2,ECU Housing 2,2026-04-17T19:30,309,301.6
2026-04-17,2,ECU Housing 2,2026-04-17T20:30,334,303.5
2026-04-17,2,ECU Housing 2,2026-04-17T21:30,311,304.1
2026-04-17,2,ECU Housing 2,2026-04-17T22:30,319,304.9
2026-04-17,2,ECU Housing 2,2026-04-17T23:30,188,298.7
2026-04-17,2,ECU Housing 2,2026-04-18T00:30,173,291.1
2026-04-17,2,ECU Housing 2,2026-04-18T01:30,332,293.2
2026-04-17,2,ECU Housing 2,2026-04-18T02:30,337,295.4
2026-04-17,2,ECU Housing 2,2026-04-18T03:30,327,296.9
2026-04-17,2,ECU Housing 2,2026-04-18T04:30,333,298.6
2026-04-17,2,ECU Housing 2,2026-04-18T05:30,54,288.4
2026-04-17,2,ECU Housing 2,2026-04-18T06:30,115,280.7
