day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-19,1,ECU Housing 1,0,0,0
2026-04-19,1,ECU Housing 1,1,0,0
2026-04-19,1,ECU Housing 1,2,0,0
2026-04-19,1,ECU Housing 1,3,0,0
2026-04-19,1,ECU Housing 1,4,0,0
2026-04-19,1,ECU Housing 1,5,0,0
2026-04-19,1,ECU Housing 1,6,0,0
2026-04-19,1,ECU Housing 1,7,247,56
2026-04-19,1,ECU Housing 1,8,260,58
2026-04-19,1,ECU Housing 1,9,225,52
2026-04-19,1,ECU Housing 1,10,198,45
2026-04-19,1,ECU Housing 1,11,256,56
2026-04-19,1,ECU Housing 1,12,194,53
2026-04-19,1,ECU Housing 1,13,245,51
2026-04-19,1,ECU Housing 1,14,186,53
2026-04-19,1,ECU Housing 1,15,229,53
2026-04-19,1,ECU Housing 1,16,178,38
2026-04-19,1,ECU Housing 1,17,1,0
2026-04-19,1,ECU Housing 1,18,0,0
2026-04-19,1,ECU Housing 1,19,0,0
2026-04-19,1,ECU Housing 1,20,0,0
2026-04-19,1,ECU Housing 1,21,0,0
2026-04-19,1,ECU Housing 1,22,0,0
2026-04-19,1,ECU Housing 1,23,0,0
