day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-21,1,ECU Housing 1,2026-04-21T07:30,226,220.6
2026-04-21,1,ECU Housing 1,2026-04-21T08:30,161,191.6
2026-04-21,1,ECU Housing 1,2026-04-21T09:30,252,211.5
2026-04-21,1,ECU Housing 1,2026-04-21T10:30,259,223.2
2026-04-21,1,ECU Housing 1,2026-04-21T11:30,251,228.8
2026-04-21,1,ECU Housing 1,2026-04-21T12:30,241,231.8
2026-04-21,1,ECU Housing 1,2026-04-21T13:30,0,199.0
2026-04-21,1,ECU Housing 1,2026-04-21T14:30,222,181.1
2026-04-21,1,ECU Housing 1,2026-04-21T15:30,220,185.3
2026-04-21,1,ECU Housing 1,2026-04-21T16:30,251,192.1
2026-04-21,1,ECU Housing 1,2026-04-21T17:30,198,193.3
2026-04-21,1,ECU Housing 1,2026-04-21T18:30,240,196.4
2026-04-21,1,ECU Housing 1,2026-04-21T19:30,156,193.3
2026-04-21,1,ECU Housing 1,2026-04-21T20:30,237,196.4
2026-04-21,1,ECU Housing 1,2026-04-21T21:30,32,186.1
2026-04-21,1,ECU Housing 1,2026-04-21T22:30,0,174.4
2026-04-21,1,ECU Housing 1,2026-04-21T23:30,24,165.0
2026-04-21,1,ECU Housing 1,2026-04-22T00:30,191,166.6
2026-04-21,1,ECU Housing 1,2026-04-22T01:30,251,171.0
2026-04-21,1,ECU Housing 1,2026-04-22T02:30,205,172.9
2026-04-21,1,ECU Housing 1,2026-04-22T03:30,143,171.3
2026-04-21,1,ECU Housing 1,2026-04-22T04:30,179,171.7
2026-04-21,1,ECU Housing 1,2026-04-22T05:30,176,171.8
2026-04-21,1,ECU Housing 1,2026-04-22T06:30,126,170.4
