day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-20,2,ECU Housing 2,2026-04-20T07:30,0,0.0
2026-04-20,2,ECU Housing 2,2026-04-20T08:30,194,92.8
2026-04-20,2,ECU Housing 2,2026-04-20T09:30,296,160.5
2026-04-20,2,ECU Housing 2,2026-04-20T10:30,162,163.4
2026-04-20,2,ECU Housing 2,2026-04-20T11:30,242,178.4
2026-04-20,2,ECU Housing 2,2026-04-20T12:30,262,191.5
2026-04-20,2,ECU Housing 2,2026-04-20T13:30,329,210.9
2026-04-20,2,ECU Housing 2,2026-04-20T14:30,266,218.1
2026-04-20,2,ECU Housing 2,2026-04-20T15:30,340,231.5
2026-04-20,2,ECU Housing 2,2026-04-20T16:30,180,226.4
2026-04-20,2,ECU Housing 2,2026-04-20T17:30,308,234.0
2026-04-20,2,ECU Housing 2,2026-04-20T18:30,120,225.2
2026-04-20,2,ECU Housing 2,2026-04-20T19:30,272,228.0
2026-04-20,2,ECU Housing 2,2026-04-20T20:30,336,235.8
2026-04-20,2,ECU Housing 2,2026-04-20T21:30,288,239.2
2026-04-20,2,ECU Housing 2,2026-04-20T22:30,323,245.1
2026-04-20,2,ECU Housing 2,2026-04-20T23:30,0,230.7
2026-04-20,2,ECU Housing 2,2026-04-21T00:30,186,227.5
2026-04-20,2,ECU Housing 2,2026-04-21T01:30,345,233.8
2026-04-20,2,ECU Housing 2,2026-04-21T02:30,170,231.1
2026-04-20,2,ECU Housing 2,2026-04-21T03:30,185,228.4
2026-04-20,2,ECU Housing 2,2026-04-21T04:30,344,233.6
2026-04-20,2,ECU Housing 2,2026-04-21T05:30,344,238.5
2026-04-20,2,ECU Housing 2,2026-04-21T06:30,196,236.7
