day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-19,2,ECU Housing 2,2026-04-19T07:30,317,313.0
2026-04-19,2,ECU Housing 2,2026-04-19T08:30,274,291.8
2026-04-19,2,ECU Housing 2,2026-04-19T09:30,317,300.3
2026-04-19,2,ECU Housing 2,2026-04-19T10:30,268,292.4
2026-04-19,2,ECU Housing 2,2026-04-19T11:30,320,297.8
2026-04-19,2,ECU Housing 2,2026-04-19T12:30,241,288.3
2026-04-19,2,ECU Housing 2,2026-04-19T13:30,306,292.3
2026-04-19,2,ECU Housing 2,2026-04-19T14:30,167,275.2
2026-04-19,2,ECU Housing 2,2026-04-19T15:30,290,276.8
2026-04-19,2,ECU Housing 2,2026-04-19T16:30,305,280.8
2026-04-19,2,ECU Housing 2,2026-04-19T17:30,31,258.0
2026-04-19,2,ECU Housing 2,2026-04-19T18:30,0,236.5
2026-04-19,2,ECU Housing 2,2026-04-19T19:30,0,218.3
2026-04-19,2,ECU Housing 2,2026-04-19T20:30,0,202.7
2026-04-19,2,ECU Housing 2,2026-04-19T21:30,0,189.1
2026-04-19,2,ECU Housing 2,2026-04-19T22:30,0,177.3
2026-04-19,2,ECU Housing 2,2026-04-19T23:30,0,166.9
2026-04-19,2,ECU Housing 2,2026-04-20T00:30,0,157.6
2026-04-19,2,ECU Housing 2,2026-04-20T01:30,0,149.3
2026-04-19,2,ECU Housing 2,2026-04-20T02:30,0,141.8
2026-04-19,2,ECU Housing 2,2026-04-20T03:30,0,135.1
2026-04-19,2,ECU Housing 2,2026-04-20T04:30,0,128.9
2026-04-19,2,ECU Housing 2,2026-04-20T05:30,0,123.3
2026-04-19,2,ECU Housing 2,2026-04-20T06:30,0,118.2
