day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-20,3,LP EGR-VV,0,174,60
2026-04-20,3,LP EGR-VV,1,0,60
2026-04-20,3,LP EGR-VV,2,80,60
2026-04-20,3,LP EGR-VV,3,176,60
2026-04-20,3,LP EGR-VV,4,167,60
2026-04-20,3,LP EGR-VV,5,90,60
2026-04-20,3,LP EGR-VV,6,75,31
2026-04-20,3,LP EGR-VV,7,117,42
2026-04-20,3,LP EGR-VV,8,144,58
2026-04-20,3,LP EGR-VV,9,170,60
2026-04-20,3,LP EGR-VV,10,167,60
2026-04-20,3,LP EGR-VV,11,169,60
2026-04-20,3,LP EGR-VV,12,169,60
2026-04-20,3,LP EGR-VV,13,170,60
2026-04-20,3,LP EGR-VV,14,169,60
2026-04-20,3,LP EGR-VV,15,169,60
2026-04-20,3,LP EGR-VV,16,167,60
2026-04-20,3,LP EGR-VV,17,172,60
2026-04-20,3,LP EGR-VV,18,148,60
2026-04-20,3,LP EGR-VV,19,129,60
2026-04-20,3,LP EGR-VV,20,150,60
2026-04-20,3,LP EGR-VV,21,176,60
2026-04-20,3,LP EGR-VV,22,164,60
2026-04-20,3,LP EGR-VV,23,111,60
