day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-18,3,LP EGR-VV,2026-04-18T07:30,144,140.3
2026-04-18,3,LP EGR-VV,2026-04-18T08:30,171,154.8
2026-04-18,3,LP EGR-VV,2026-04-18T09:30,170,160.5
2026-04-18,3,LP EGR-VV,2026-04-18T10:30,148,157.1
2026-04-18,3,LP EGR-VV,2026-04-18T11:30,171,159.7
2026-04-18,3,LP EGR-VV,2026-04-18T12:30,169,161.4
2026-04-18,3,LP EGR-VV,2026-04-18T13:30,169,162.7
2026-04-18,3,LP EGR-VV,2026-04-18T14:30,106,155.6
2026-04-18,3,LP EGR-VV,2026-04-18T15:30,172,157.3
2026-04-18,3,LP EGR-VV,2026-04-18T16:30,164,158.0
2026-04-18,3,LP EGR-VV,2026-04-18T17:30,160,158.2
2026-04-18,3,LP EGR-VV,2026-04-18T18:30,171,159.1
2026-04-18,3,LP EGR-VV,2026-04-18T19:30,153,159.0
2026-04-18,3,LP EGR-VV,2026-04-18T20:30,167,159.4
2026-04-18,3,LP EGR-VV,2026-04-18T21:30,144,158.5
2026-04-18,3,LP EGR-VV,2026-04-18T22:30,153,158.0
2026-04-18,3,LP EGR-VV,2026-04-18T23:30,169,158.6
2026-04-18,3,LP EGR-VV,2026-04-19T00:30,170,159.3
2026-04-18,3,LP EGR-VV,2026-04-19T01:30,171,159.8
2026-04-18,3,LP EGR-VV,2026-04-19T02:30,167,160.2
2026-04-18,3,LP EGR-VV,2026-04-19T03:30,159,160.2
2026-04-18,3,LP EGR-VV,2026-04-19T04:30,125,158.6
2026-04-18,3,LP EGR-VV,2026-04-19T05:30,160,158.6
2026-04-18,3,LP EGR-VV,2026-04-19T06:30,132,157.8
