day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-21,1,ECU Housing 1,0,191,43
2026-04-21,1,ECU Housing 1,1,251,56
2026-04-21,1,ECU Housing 1,2,205,54
2026-04-21,1,ECU Housing 1,3,143,38
2026-04-21,1,ECU Housing 1,4,179,58
2026-04-21,1,ECU Housing 1,5,176,40
2026-04-21,1,ECU Housing 1,6,126,37
2026-04-21,1,ECU Housing 1,7,226,56
2026-04-21,1,ECU Housing 1,8,161,40
2026-04-21,1,ECU Housing 1,9,252,57
2026-04-21,1,ECU Housing 1,10,259,58
2026-04-21,1,ECU Housing 1,11,251,55
2026-04-21,1,ECU Housing 1,12,241,56
2026-04-21,1,ECU Housing 1,13,0,53
2026-04-21,1,ECU Housing 1,14,222,57
2026-04-21,1,ECU Housing 1,15,220,50
2026-04-21,1,ECU Housing 1,16,251,53
2026-04-21,1,ECU Housing 1,17,198,48
2026-04-21,1,ECU Housing 1,18,240,55
2026-04-21,1,ECU Housing 1,19,156,43
2026-04-21,1,ECU Housing 1,20,237,54
2026-04-21,1,ECU Housing 1,21,32,14
2026-04-21,1,ECU Housing 1,22,0,0
2026-04-21,1,ECU Housing 1,23,24,4
